Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Dare Ogunbowale,JAC,12.1,84.4,0.5,9.1,77.5,0.3,0.2,20.5
Ty Montgomery,NO,11.5,71.9,0.3,11.7,87.7,0.3,0,19.4
Kene Nwangwu,MIN,19.4,98.1,0.5,7.1,53.9,0.2,0.1,19.3
Royce Freeman,CAR,24.9,111,0.7,4.7,28.1,0.1,0.1,18.2
Jalen Richard,LV,18,66.4,0.3,10,79.2,0.3,0.4,17.7
Travis Homer,SEA,11,82.8,0.4,7.5,56.9,0.3,0.1,17.5
Jeremy McNichols,TEN,25.6,95.8,0.4,6.1,42.5,0.1,0.1,17.1
La'Mical Perine,NYJ,28.7,106,0.5,3.5,23.2,0.1,0.1,15.9
Khalil Herbert,CHI,15.8,84.3,0.4,5.1,34.9,0.1,0.1,14.7
Jordan Wilkins,IND,20.3,84.5,0.5,2.8,21.4,0.1,0,14.5
Alex Collins,SEA,16,67.1,0.7,4.4,32.8,0.2,0.3,14.4
C.J. Ham,MIN,4.7,13.3,0.1,9.9,83.9,0.5,0,13.7
Patrick Ricard,BAL,2,4.7,0.1,12.1,80.6,0.8,0.4,13
Gerrid Doaks,MIA,25,93,0,4,27,0,0,12
Eno Benjamin,ARI,17.9,76,0.3,1.8,14.9,0,0,11.1
D'Ernest Johnson,CLE,17.2,73.2,0.3,2.5,19.1,0,0.1,10.7
Nate McCrary,BAL,17.9,66,0.3,2.5,17.8,0.1,0.1,10.6
Mekhi Sargent,TEN,12.5,55.4,0.6,1.7,11.9,0,0.1,10.3
Keith Smith,ATL,4.3,15.2,0.1,8.2,61.3,0.3,0,10.3
Demetric Felton,CLE,12.4,59.8,0.5,1.7,14,0,0,10.3
Ameer Abdullah,MIN,12.1,58.6,0,3.3,22.8,0.3,0,10.1
Alec Ingold,LV,4.4,13.8,0.1,6.9,57.9,0.3,0.1,9.7
Trenton Cannon,SF,7.7,41.6,0.3,3.6,26.4,0.1,0.1,9.4
Dwayne Washington,NO,12.6,39.8,0.2,4.2,33.1,0.1,0.1,9.1
Derek Watt,PIT,4.3,48.4,0.4,1.8,10.3,0.1,0.1,9
Jordan Howard,PHI,10,42.9,0.7,0.3,3.1,0,0,8.6
Gary Brightwell,NYG,16.5,57.1,0.2,2.1,14.9,0,0.1,8.4
Alex Armah Jr.,NO,4.1,17.2,0.2,4.2,33,0.3,0,7.6
Ryquell Armstead,NO,8.3,35.3,0.2,2.7,19.8,0.2,0,7.6
Ke'Shawn Vaughn,TB,9.8,41.8,0.3,1.5,10.6,0.1,0,7.5
Andrew Beck,DEN,4.9,21.2,0.2,4.3,29.2,0.2,0,7.1
Kalen Ballage,PIT,10.8,36.7,0.2,2.5,17.6,0.1,0.1,7
Trey Edmunds,PIT,14.8,38.3,0.2,1.5,10.4,0.1,0,6.9
Buddy Howell,LAR,4,17.3,0.2,3.7,25.8,0.2,0,6.3
Michael Burton,KC,3.3,15.2,0.1,4.4,27.9,0.2,0,6.1
Gabe Nabers,LAC,3.3,11.5,0.1,4,28.4,0.2,0,5.9
Corey Clement,DAL,4.3,17.7,0.2,1.9,14.6,0.1,0,4.5
Andy Janovich,CLE,1,4.7,0,3.9,28.2,0.2,0,4.5
Trevon Wesco,NYJ,0,0,0,4,35,0.1,0,4.2
Nick Bellore,SEA,1.5,6.7,0,3.1,22.3,0.2,0,4
JaQuan Hardy,DAL,9,38,0,0,0,0,0,3.8
Elijhaa Penny,NYG,2.4,9,0.1,2.5,13.7,0.1,0,3.2
Jason Cabinda,DET,0.4,2.5,0,2.1,13,0.1,0,2.2
Khari Blasingame,TEN,0.5,1.8,0,1.7,13.9,0.1,0,2
Jakob Johnson,NE,0,0,0,1.7,14.1,0.1,0,1.8
Jonathan Williams,WAS,2.3,9.8,0,0.9,7,0,0,1.7
Scottie Phillips,HOU,2.3,10,0.1,0.4,2.7,0,0,1.6
Devine Ozigbo,NO,1.2,5.3,0,0.9,6.3,0,0,1.2
Antonio Williams,BUF,1.2,4.9,0,0.9,6.3,0,0,1.1
Godwin Igwebuike,DET,1.9,7.8,0.1,0,0,0,0,1.1
Taiwan Jones,BUF,1.6,5.4,0,0.3,2.7,0,0,1
Ryan Nall,CHI,0.9,3.9,0,0.9,6.2,0,0,1
LeVante Bellamy,DEN,1,4.4,0,0.9,5.7,0,0,1
Artavis Pierce,CHI,0.9,3.9,0,0.9,6.2,0,0,1
Adrian Killins Jr.,DEN,0.9,3.9,0,0.9,6.1,0,0,1
Jason Huntley,PHI,0.9,3.9,0,0.9,6.1,0,0,1
Nathan Cottrell,JAC,0.9,3.6,0,0.9,6.4,0,0,1
Damarea Crockett,DEN,1,4.2,0,0.9,5.7,0,0,1
Austin Walter,NYJ,0.9,3.6,0,0.9,6.3,0,0,1
Patrick Laird,MIA,0.9,3.9,0,0.9,5.5,0,0,0.9
Dontrell Hilliard,HOU,0.8,3.5,0,0.8,5.6,0,0,0.9
Taquan Mizzell,NYG,0.9,3.7,0,0.9,5.4,0,0,0.9
Cullen Gillaspia,NYG,0.9,3.7,0,0.9,5.2,0,0,0.9
Alfred Morris,NYG,0.9,3.5,0,0.9,5.2,0,0,0.9
Derrick Gore,KC,0,0,0,0,0,0,0,0
Patrick Taylor Jr.,GB,0,0,0,0,0,0,0,0
